age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,balance_group,age_group,day_group,pdays_group,duration_group,campaign_group,duration_age,duration_campaign_ratio,duration_ratio
30,unemployed,married,primary,no,1787,no,no,cellular,19,oct,79,1,-1,0,unknown,no,1k to 10k,30-39,Day 16-20,Never contacted,0-119s,1,2.6333333333333333,39.5,0.29928630624727137
34,technician,married,secondary,no,209,yes,yes,cellular,8,apr,375,2,-1,0,unknown,no,0 to 1k,30-39,Day 6-10,Never contacted,360-479s,2,11.029411764705882,125.0,1.4206628461104653
28,blue-collar,married,primary,no,60,yes,no,cellular,6,may,161,1,337,1,failure,no,0 to 1k,20-29,Day 6-10,6-12 months,120-239s,1,5.75,80.5,0.6099379152634264
45,admin.,married,secondary,no,644,no,yes,telephone,22,jul,92,1,-1,0,unknown,no,0 to 1k,40-49,Day 21-25,Never contacted,0-119s,1,2.0444444444444443,46.0,0.34853595157910083
53,admin.,divorced,secondary,no,26,yes,no,cellular,7,may,56,1,359,1,failure,no,0 to 1k,50-59,Day 6-10,6-12 months,0-119s,1,1.0566037735849056,28.0,0.21215231835249615
33,services,married,secondary,no,4789,yes,yes,cellular,11,may,220,1,339,4,failure,no,1k to 10k,30-39,Day 11-15,6-12 months,120-239s,1,6.666666666666667,110.0,0.8334555363848063
31,technician,single,tertiary,no,438,yes,no,cellular,12,aug,130,2,-1,0,unknown,no,0 to 1k,30-39,Day 11-15,Never contacted,120-239s,2,4.193548387096774,43.333333333333336,0.4924964533182946
45,blue-collar,married,primary,no,137,yes,yes,unknown,16,may,187,19,-1,0,unknown,no,0 to 1k,40-49,Day 16-20,Never contacted,120-239s,10+,4.155555555555556,9.35,0.7084372059270854
43,management,married,secondary,no,-26,yes,no,unknown,16,may,343,1,-1,0,unknown,no,-1k to 0,40-49,Day 16-20,Never contacted,240-359s,1,7.976744186046512,171.5,1.299432949909039
36,technician,married,secondary,no,191,no,no,cellular,31,aug,69,1,-1,0,unknown,no,0 to 1k,30-39,Day 26-31,Never contacted,0-119s,1,1.9166666666666667,34.5,0.2614019636843256
35,management,single,tertiary,no,1350,yes,no,cellular,16,apr,185,1,330,1,failure,no,1k to 10k,30-39,Day 16-20,6-12 months,120-239s,1,5.285714285714286,92.5,0.7008603374144962
39,admin.,single,secondary,no,1242,yes,no,unknown,12,may,303,3,-1,0,unknown,no,1k to 10k,30-39,Day 11-15,Never contacted,240-359s,3,7.769230769230769,75.75,1.1478955796572559
